hqt_cd,loc_cd,wq_dt,adm_cd,temper,rainfall_qy,wtemper_tp,u_bod_co,u_cod_co,u_ss_co,u_tn_co,u_tp_co,u_bac_co,u_val_qy,b_bod_num,b_cod_num,b_ss_num,b_tn_num,b_tp_num,b_bac_num,b_val_qy
91,40001,202104011000,400,16.4,0,16.6,361.200,181.100,255.000,59.520,8.133,62000.000,2521.000,1.600,6.200,1.400,6.857,0.050,1.000,1848.000
91,40001,202104021000,400,18.1,0,16.8,417.000,180.500,220.000,73.280,8.722,26000.000,2598.000,1.500,5.300,1.800,7.462,0.051,0.000,2028.000
91,40001,202104031000,400,16.6,23.2,16.6,328.800,107.900,440.000,60.979,9.227,230000.000,2716.000,1.200,5.500,1.400,7.448,0.050,0.000,2137.000
91,40001,202104041000,400,11.5,10.9,16.6,250.200,249.400,145.000,42.207,4.534,39000.000,3371.000,1.600,5.200,2.000,7.061,0.057,1.000,2831.000
91,40001,202104051000,400,11.7,0,16.5,256.800,141.900,230.000,53.525,6.145,57000.000,2512.000,1.100,6.200,1.600,7.006,0.053,0.000,1976.000
91,40001,202104061000,400,13.6,0,16.6,246.600,108.400,170.000,59.343,6.884,160000.000,2621.000,1.200,6.000,1.000,6.616,0.054,1.000,2072.000
91,40001,202104071000,400,14.5,0,16.8,363.600,148.000,270.000,67.233,7.778,94000.000,2598.000,1.200,5.900,1.000,6.920,0.041,4.000,2047.000
91,40001,202104081000,400,13.2,0,17.1,358.800,131.600,195.000,70.948,8.295,200000.000,2589.000,0.900,5.700,1.600,6.953,0.048,2.000,2026.000
91,40001,202104091000,400,12.2,0,17.1,339.600,147.100,225.000,70.883,7.520,68000.000,2541.000,1.500,6.300,2.200,6.721,0.053,2.000,1993.000
91,40001,202104101000,400,13,0,17.1,223.800,48.500,80.000,39.884,3.875,26000.000,2699.000,0.600,6.100,1.000,7.332,0.042,0.000,2150.000
91,40001,202104111000,400,15.5,0,17.2,300.000,191.200,385.000,55.192,8.839,120000.000,2531.000,0.600,5.800,1.600,6.634,0.043,1.000,1980.000
91,40001,202104121000,400,14.2,8.6,17.4,328.800,144.200,270.000,75.604,8.032,120000.000,2713.000,0.900,6.200,1.200,7.547,0.049,3.000,2222.000
91,40001,202104131000,400,11.2,0.9,17.4,363.600,133.400,200.000,72.216,7.275,240000.000,2806.000,1.100,6.000,1.400,7.722,0.051,2.000,2246.000
