hqt_cd,loc_cd,wq_dt,adm_cd,temper,rainfall_qy,wtemper_tp,u_bod_co,u_cod_co,u_ss_co,u_tn_co,u_tp_co,u_bac_co,u_val_qy,b_bod_num,b_cod_num,b_ss_num,b_tn_num,b_tp_num,b_bac_num,b_val_qy
91,40001,201905010000,400,16.4,0,18.4,375.000,162.960,300.000,87.677,9.740,297000.000,2397.000,2.640,8.497,3.600,9.302,0.101,14.000,1997.000
91,40001,201905020000,400,17.1,0,18.2,358.500,164.124,315.000,91.667,10.517,271000.000,2553.000,2.230,8.555,3.800,10.421,0.099,20.000,2132.000
91,40001,201905030000,400,17.9,0,18.2,327.600,173.436,340.000,62.920,8.100,282000.000,2321.000,2.820,8.400,3.800,8.664,0.084,22.000,1893.000
91,40001,201905040000,400,19.5,0,18.4,348.000,164.900,450.000,58.814,8.159,308000.000,2346.000,2.630,8.517,3.200,9.737,0.113,9.000,1966.000
91,40001,201905050000,400,19.2,0,18.5,350.400,132.696,285.000,74.718,8.182,120000.000,2458.000,2.490,8.206,2.400,9.500,0.095,10.000,2073.000
91,40001,201905060000,400,14.5,0,18.3,343.200,176.152,340.000,94.381,10.182,210000.000,2400.000,2.120,8.070,2.600,10.566,0.089,7.000,1937.000
91,40001,201905070000,400,15,0,18.7,368.400,155.588,265.000,83.971,10.000,264000.000,2423.000,1.930,8.381,3.600,9.185,0.104,5.000,1992.000
91,40001,201905080000,400,15.6,0,18.9,358.800,178.900,305.000,81.557,11.453,147000.000,2395.000,2.300,8.600,2.600,9.181,0.101,26.000,1981.000
91,40001,201905090000,400,16.6,0,19.1,329.400,173.436,375.000,66.034,12.627,274000.000,2355.000,2.000,8.517,2.400,7.803,0.098,12.000,1922.000
91,40001,201905100000,400,17.8,0,19.2,307.800,171.884,280.000,92.288,11.242,135000.000,2432.000,2.560,8.769,3.200,8.494,0.093,9.000,1967.000
91,40001,201905110000,400,20.3,0,19.1,271.200,164.900,355.000,49.855,8.054,247000.000,2368.000,2.210,8.458,2.800,7.628,0.094,8.000,1884.000
91,40001,201905120000,400,21.6,0,19.5,283.800,168.780,350.000,55.945,8.898,268000.000,2413.000,2.120,8.691,3.067,7.955,0.094,12.000,1951.000
91,40001,201905130000,400,18.7,0,19.8,286.200,177.704,345.000,77.260,9.611,263000.000,2449.000,1.660,8.458,3.200,8.099,0.096,11.000,1979.000
91,40001,201905140000,400,19.6,0,19.9,300.600,159.468,300.000,87.565,9.160,206000.000,2361.000,2.350,8.206,3.200,7.268,0.088,22.000,1913.000
91,40001,201905150000,400,20.7,0,19.8,308.400,159.080,305.000,79.514,10.566,297000.000,2574.000,1.860,8.924,2.800,9.438,0.080,0.000,2074.000
91,40001,201905160000,400,23.5,0,20.5,375.600,171.108,305.000,70.330,11.104,207000.000,2588.000,1.920,8.226,2.133,9.313,0.097,8.000,2158.000
91,40001,201905170000,400,23.6,0,20.1,333.000,167.228,250.000,64.949,8.455,143000.000,2573.000,1.850,8.012,2.200,6.894,0.082,21.000,2105.000
91,40001,201905180000,400,22.8,5,20.2,297.000,150.156,295.000,50.764,8.540,228000.000,2412.000,2.700,7.954,2.800,6.894,0.089,19.000,1680.000
91,40001,201905190000,400,19.4,2,20.7,343.000,149.768,275.000,51.311,7.633,205000.000,2293.000,2.590,7.527,2.100,6.636,0.082,16.000,1809.000
91,40001,201905200000,400,16.4,0,21,312.600,158.692,380.000,73.751,9.513,203000.000,2504.000,1.570,7.760,2.300,8.951,0.083,14.000,2111.000
91,40001,201905210000,400,17.2,0,20.9,360.000,142.396,215.000,61.229,7.575,112000.000,2519.000,1.640,8.342,3.300,7.982,0.097,8.000,2034.000
91,40001,201905220000,400,19.5,0,21,321.000,155.976,255.000,79.759,10.608,226000.000,2499.000,2.390,7.935,2.700,7.226,0.089,17.000,2054.000
91,40001,201905230000,400,22.1,0,21.1,368.000,141.600,195.000,74.349,9.313,147000.000,2524.000,2.500,8.500,2.000,6.379,0.091,20.000,2067.000
91,40001,201905240000,400,24.2,0,21.3,360.000,169.944,390.000,88.466,10.134,184000.000,2629.000,2.300,8.303,3.300,7.145,0.098,29.000,2171.000
91,40001,201905250000,400,23.4,0,21.4,236.000,145.112,215.000,51.580,8.872,137000.000,2470.000,2.300,8.032,2.600,5.522,0.096,23.000,2003.000
91,40001,201905260000,400,24.5,0,21.2,253.000,154.424,275.000,58.853,7.756,257000.000,2487.000,2.060,8.187,2.400,6.222,0.088,28.000,2067.000
91,40001,201905270000,400,17.8,16,21.5,269.000,140.456,320.000,64.727,8.940,225000.000,2756.000,1.450,7.915,2.600,6.242,0.090,74.000,2337.000
91,40001,201905280000,400,18.1,0,21.5,367.000,171.590,290.000,73.180,9.620,148000.000,2406.000,2.180,8.004,1.800,7.602,0.086,31.000,1944.000
91,40001,201905290000,400,20.3,0,21.6,346.000,156.894,265.000,83.725,11.036,284000.000,2613.000,1.510,7.169,1.900,5.820,0.082,49.000,2107.000
91,40001,201905300000,400,19.6,0,21.7,326.000,144.184,250.000,71.624,8.727,155000.000,2552.000,2.320,7.408,1.400,5.840,0.079,27.000,2040.000
91,40001,201905310000,400,19.1,0,21.8,253.000,150.500,250.000,64.806,8.835,189000.000,2513.000,1.700,7.400,1.900,7.001,0.083,33.000,2042.000
90,50001,201905010000,500,15.8,0,15.0,129.300,97.100,130.000,37.740,3.312,89000.000,7033.000,4.800,12.300,3.600,17.052,0.061,120.000,6672.000
90,50001,201905020000,500,17.0,0,15.2,141.900,102.900,154.000,41.430,3.414,98000.000,7083.000,4.900,11.700,3.200,18.120,0.071,110.000,6649.000
90,50001,201905030000,500,18.7,0,15.4,137.400,97.100,124.000,37.440,3.240,110000.000,7493.000,5.200,12.000,3.200,19.320,0.072,120.000,6082.000
90,50001,201905040000,500,19.6,0,15.5,125.700,114.300,132.000,36.990,3.306,92000.000,9081.000,5.500,11.300,3.600,18.552,0.068,110.000,6771.000
90,50001,201905050000,500,18.8,0,15.4,144.000,102.900,140.000,40.920,3.378,110000.000,7384.000,5.700,11.400,2.800,19.332,0.061,130.000,6886.000
90,50001,201905060000,500,16.0,0,14.6,133.200,120.000,132.000,37.230,3.282,87000.000,7294.000,5.100,11.700,3.200,18.300,0.059,99.000,6915.000
90,50001,201905070000,500,15.1,0,14.8,146.700,113.300,108.000,42.480,3.852,96000.000,7145.000,5.500,13.000,4.400,19.908,0.071,100.000,6839.000
