hqt_cd,loc_cd,wq_dt,adm_cd,temper,rainfall_qy,wtemper_tp,u_bod_co,u_cod_co,u_ss_co,u_tn_co,u_tp_co,u_bac_co,u_val_qy,b_bod_num,b_cod_num,b_ss_num,b_tn_num,b_tp_num,b_bac_num,b_val_qy
91,40001,202001011000,400,-2.2,0,14.2,348.000,120.500,160.000,68.181,7.159,15000.000,2104.000,1.400,6.200,1.800,7.921,0.070,2.000,1677.000
91,40001,202001021000,400,1,0,14.1,317.300,137.300,130.000,70.182,7.006,76000.000,2259.000,1.600,6.500,2.200,7.969,0.077,5.000,1871.000
91,40001,202001031000,400,-0.1,0,14,349.500,140.500,230.000,77.354,8.690,61000.000,2308.000,2.000,6.700,2.200,7.698,0.073,3.000,1889.000
91,40001,202001041000,400,1.2,0,13.9,366.000,129.100,165.000,53.970,6.899,18000.000,2205.000,1.300,7.000,2.500,6.218,0.083,2.000,1824.000
91,40001,202001051000,400,1.3,0,13.8,281.000,109.500,130.000,56.175,6.506,45000.000,2237.000,1.100,6.500,2.000,6.493,0.071,3.000,1828.000
91,40001,202001061000,400,3.1,9,13.8,277.000,111.800,130.000,51.214,5.809,59000.000,2348.000,1.400,6.700,2.000,6.592,0.079,1.000,1934.000
91,40001,202001071000,400,6.3,60,13.4,306.000,118.500,195.000,10.288,5.312,45000.000,3402.000,1.300,7.400,3.700,6.669,0.104,1.000,2964.000
91,40001,202001081000,400,2.4,3,11.9,275.000,58.900,66.700,23.185,2.672,140000.000,2959.000,1.900,6.400,3.600,4.860,0.096,0.000,2518.000
91,40001,202001091000,400,-1.2,0,12.5,252.000,60.400,60.000,28.418,3.396,63000.000,2648.000,2.000,6.300,2.400,5.456,0.076,6.000,2162.000
91,40001,202001101000,400,-0.6,0,12.7,315.000,124.000,130.000,56.919,7.130,138000.000,2710.000,2.000,6.200,2.900,5.919,0.088,1.000,2270.000
91,40001,202001111000,400,-0.1,0,12.9,314.000,126.700,145.000,46.930,5.540,243000.000,2421.000,1.200,7.000,2.400,6.354,0.067,4.000,1990.000
91,40001,202001121000,400,-1,0,13.1,252.000,107.200,155.000,47.448,5.839,189000.000,2441.000,1.300,6.700,2.200,5.811,0.069,3.000,2028.000
91,40001,202001131000,400,-2.9,0,13.2,304.000,144.700,220.000,66.593,7.419,94000.000,2313.000,1.200,7.000,2.800,6.509,0.074,3.000,1905.000
91,40001,202001141000,400,-2.3,0,13.2,348.000,157.300,310.000,58.627,8.875,85000.000,2449.000,1.600,7.600,2.500,6.537,0.083,3.000,2046.000
91,40001,202001151000,400,-2.7,0,13.2,316.500,120.500,175.000,55.111,7.885,56000.000,2328.000,1.200,6.700,1.700,5.994,0.057,5.000,1943.000
91,40001,202001161000,400,-1.7,0,13.2,369.800,113.400,155.000,57.594,7.904,180000.000,2410.000,1.800,7.000,2.500,5.779,0.072,1.000,1963.000
91,40001,202001171000,400,-0.6,0,13.2,347.300,160.800,310.000,51.166,8.046,150000.000,2285.000,2.100,7.200,1.700,5.895,0.053,6.000,1855.000
91,40001,202001181000,400,0.3,0,13.2,337.500,126.700,195.000,51.684,6.295,120000.000,2316.000,1.200,6.800,1.900,6.779,0.063,1.000,1887.000
91,40001,202001191000,400,1.9,0,13.1,306.000,167.700,395.000,39.767,8.261,70000.000,2182.000,1.300,7.100,1.900,6.145,0.064,4.000,1812.000
91,40001,202001201000,400,0.7,0,13.1,343.500,170.400,280.000,49.093,8.303,50000.000,2244.000,1.600,6.700,1.700,6.071,0.059,4.000,1858.000
91,40001,202001211000,400,-0.4,0,13,338.300,141.300,240.000,69.663,8.320,70000.000,2200.000,1.400,6.900,1.700,6.131,0.067,3.000,1810.000
