hqt_cd,loc_cd,wq_dt,adm_cd,temper,rainfall_qy,wtemper_tp,u_bod_co,u_cod_co,u_ss_co,u_tn_co,u_tp_co,u_bac_co,u_val_qy,b_bod_num,b_cod_num,b_ss_num,b_tn_num,b_tp_num,b_bac_num,b_val_qy
91,40001,201910011000,400,23.1,0,25.1,309.000,153.100,275.000,79.762,8.980,163000.000,2255.000,0.500,5.500,0.400,4.893,0.051,8.000,1847.000
91,40001,201910021000,400,21.6,67,25.3,285.000,128.200,260.000,67.699,8.151,190000.000,3040.000,0.700,5.400,0.400,4.454,0.057,2.000,2629.000
91,40001,201910031000,400,22.4,12,25.3,323.000,148.000,375.000,44.318,6.230,161000.000,3930.000,0.700,5.600,0.600,3.896,0.055,8.000,3508.000
91,40001,201910041000,400,22.4,0,25.2,296.000,147.600,265.000,71.915,8.573,199000.000,2877.000,0.600,5.500,0.500,3.937,0.054,26.000,2436.000
91,40001,201910051000,400,18.7,0,24.9,208.000,131.700,210.000,58.303,6.813,164000.000,2617.000,0.600,5.400,0.500,4.265,0.056,3.000,2173.000
91,40001,201910061000,400,18.1,0,24.7,276.000,142.500,260.000,68.194,5.521,188000.000,2618.000,0.600,5.500,0.400,4.560,0.062,3.000,2186.000
91,40001,201910071000,400,14.8,8,24.5,220.000,135.200,250.000,68.194,8.082,92000.000,2615.000,0.600,5.700,0.600,5.966,0.058,5.000,2195.000
91,40001,201910081000,400,14.7,0,24.3,318.000,133.400,220.000,75.350,9.140,204000.000,2641.000,0.800,5.600,0.200,6.049,0.056,1.000,2209.000
91,40001,201910091000,400,13.6,0,24,333.000,180.200,205.000,82.949,12.137,195000.000,2533.000,0.800,5.400,0.400,5.189,0.050,2.000,2116.000
91,40001,201910101000,400,15.2,0,23.9,383.000,181.000,295.000,87.011,11.788,133000.000,2478.000,0.800,5.400,0.500,5.849,0.057,3.000,2027.000
91,40001,201910111000,400,18.8,0,23.9,371.000,150.200,290.000,77.059,9.463,170000.000,2582.000,0.800,5.400,0.400,5.488,0.054,10.000,2166.000
91,40001,201910121000,400,17.9,0,23.9,260.000,136.100,245.000,71.589,7.919,155000.000,2399.000,0.400,5.400,0.600,4.910,0.053,4.000,2025.000
91,40001,201910131000,400,17.2,0,23.9,241.000,136.100,285.000,63.193,7.588,172000.000,2264.000,0.400,5.400,0.400,5.750,0.058,0.000,1854.000
91,40001,201910141000,400,14.4,0,24,316.000,142.700,255.000,85.302,9.551,154000.000,2554.000,0.500,5.500,0.800,6.636,0.064,6.000,2121.000
91,40001,201910151000,400,14.5,0,23.5,359.000,151.200,220.000,78.689,9.453,144000.000,2465.000,0.800,5.600,0.500,6.436,0.060,1.000,2062.000
91,40001,201910161000,400,14.6,0,23.5,315.000,152.800,210.000,56.156,10.260,144000.000,2472.000,0.600,5.500,0.500,5.457,0.052,4.000,2106.000
91,40001,201910171000,400,15.4,0,23.5,204.000,141.100,235.000,51.074,9.438,104000.000,2405.000,0.600,5.800,0.500,5.217,0.057,7.000,1980.000
91,40001,201910181000,400,17,0,23.3,299.000,133.000,120.000,74.567,9.268,174000.000,2512.000,0.800,5.800,0.600,5.670,0.055,4.000,2064.000
91,40001,201910191000,400,17,0,23.2,387.000,170.700,400.000,77.237,11.116,297000.000,2390.000,0.600,5.500,0.300,5.596,0.055,8.000,1980.000
91,40001,201910200000,400,16.5,0,23.1,283.000,123.600,170.000,70.028,7.245,103000.000,2237.000,0.500,5.700,0.500,5.418,0.059,6.000,1842.000
91,40001,201910211000,400,17.1,0,23.1,297.000,154.700,300.000,84.712,10.390,124000.000,2334.000,0.600,6.100,0.600,5.705,0.057,3.000,1905.000
91,40001,201910221000,400,18.1,0,23.2,319.000,113.600,200.000,84.130,8.439,283000.000,2552.000,0.500,5.500,0.700,5.745,0.058,6.000,2123.000
91,40001,201910231000,400,17,0,23.1,376.000,159.700,305.000,89.345,10.696,118000.000,2433.000,0.600,5.500,0.500,5.838,0.052,8.000,2040.000
91,40001,201910241000,400,18.3,0,23.2,351.000,132.000,210.000,53.597,8.926,111000.000,2487.000,0.700,5.600,0.500,5.197,0.058,3.000,2078.000
91,40001,201910250000,400,16.7,0,23.1,307.000,160.000,295.000,82.860,9.612,238000.000,2298.000,0.400,5.600,0.500,4.723,0.056,6.000,1894.000
91,40001,201910261000,400,10,0,22.6,309.000,164.000,220.000,60.848,9.583,294000.000,2451.000,0.400,5.600,0.600,4.420,0.054,6.000,2013.000
91,40001,201910271000,400,11,0,20.4,227.000,109.300,195.000,43.495,6.323,273000.000,2217.000,0.900,5.900,0.600,4.667,0.060,2.000,1806.000
91,40001,201910281000,400,12.9,0,20,258.000,119.100,170.000,77.100,8.533,229000.000,2361.000,0.600,5.700,0.200,5.890,0.049,9.000,1943.000
91,40001,201910291000,400,12.5,0,21.6,305.000,132.700,255.000,76.275,8.218,274000.000,2286.000,0.800,5.400,0.600,5.640,0.048,6.000,1881.000
91,40001,201910301000,400,11.2,0,20.3,249.000,127.000,175.000,77.433,9.479,118000.000,2440.000,0.700,5.500,0.700,5.326,0.056,6.000,1998.000
91,40001,201910311000,400,14.8,0,20.4,319.000,168.000,315.000,83.578,9.521,293000.000,2309.000,0.600,5.700,0.600,5.778,0.054,4.000,1878.000
90,50001,201910010000,500,19.5,0,22.0,148.800,72.000,92.000,47.340,4.350,93000.000,7394.000,5.000,9.800,2.400,8.928,0.049,50.000,7391.000
90,50001,201910020000,500,21.9,0,22.2,140.400,68.000,98.000,37.080,3.144,110000.000,10590.000,4.900,9.500,2.800,8.748,0.050,55.000,7731.000
90,50001,201910030000,500,21.9,0,22.0,125.500,66.000,94.000,33.480,3.378,96000.000,10286.000,4.300,6.200,3.000,8.472,0.053,41.000,6623.000
90,50001,201910040000,500,18.9,0,21.5,152.700,70.000,100.000,50.250,3.342,99000.000,8184.000,4.100,7.600,2.600,7.800,0.056,38.000,7043.000
