hqt_cd,loc_cd,wq_dt,adm_cd,temper,rainfall_qy,wtemper_tp,u_bod_co,u_cod_co,u_ss_co,u_tn_co,u_tp_co,u_bac_co,u_val_qy,b_bod_num,b_cod_num,b_ss_num,b_tn_num,b_tp_num,b_bac_num,b_val_qy
91,40001,201903010000,400,6.6,0,12.7,224.400,131.200,270.000,61.104,7.226,131000.000,2189.000,2.020,8.774,3.400,9.283,0.134,0.000,1741.000
91,40001,201903020000,400,7.8,0,12.6,272.400,135.040,395.000,55.516,6.731,91500.000,2173.000,1.950,8.909,3.600,9.353,0.134,0.000,1697.000
91,40001,201903030000,400,9.4,0,12.7,265.800,145.280,240.000,76.191,9.479,161500.000,2107.000,1.700,8.179,3.400,9.085,0.116,0.000,1616.000
91,40001,201903040000,400,9.9,0,13,232.200,103.680,100.000,54.957,5.980,156000.000,2200.000,1.570,8.083,3.200,8.741,0.112,0.000,1726.000
91,40001,201903050000,400,8.4,0,13,331.200,149.120,260.000,83.629,10.399,104000.000,2261.000,2.110,8.909,3.611,9.349,0.132,2.000,1633.000
91,40001,201903060000,400,8.4,0,13.3,337.200,137.856,195.000,80.169,9.754,102500.000,2261.000,2.130,8.890,3.778,8.810,0.134,0.000,1866.000
91,40001,201903070000,400,7,0,13.6,339.000,180.864,360.000,96.056,11.325,146500.000,2043.000,1.960,8.947,3.500,8.917,0.132,0.000,1624.000
91,40001,201903080000,400,6.1,0,13.6,297.000,163.584,350.000,102.288,13.159,140500.000,1995.000,2.080,8.774,3.600,8.623,0.130,0.000,1611.000
91,40001,201903090000,400,7.2,0,13.7,275.400,183.936,325.000,68.125,9.845,161000.000,2180.000,2.110,8.909,3.800,7.838,0.132,0.000,1781.000
91,40001,201903100000,400,10.1,0,13.7,273.600,153.984,340.000,58.990,6.831,158000.000,2054.000,1.950,9.024,3.714,7.604,0.141,0.000,1646.000
91,40001,201903110000,400,6.6,0,13.8,283.200,177.024,235.000,92.208,10.393,142000.000,2269.000,2.140,9.082,3.514,8.541,0.166,5.000,1795.000
91,40001,201903120000,400,3.9,0,14,315.600,129.800,180.000,61.644,9.090,98500.000,2232.000,1.600,8.500,3.600,8.409,0.086,1.000,1787.000
91,40001,201903130000,400,3.5,0,14,271.200,177.792,260.000,84.419,11.443,134500.000,2182.000,1.490,8.966,3.600,8.871,0.107,0.000,1739.000
91,40001,201903140000,400,5,0,13.9,297.600,153.984,260.000,79.712,9.004,148500.000,2222.000,1.630,8.774,3.800,8.921,0.098,1.000,1752.000
91,40001,201903150000,400,5.5,1,14.1,334.800,152.064,180.000,64.212,7.609,131000.000,2292.000,1.660,8.314,3.200,8.872,0.076,3.000,1839.000
